CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
13127606,W3 8DN,Private Limited Company,Active,United Kingdom,NA,2021-01-12,21100 - Manufacture of basic pharmaceutical products,,,
CE024630,,Charitable Incorporated Organisation,Active,United Kingdom,NA,2021-01-18,None Supplied,,,
13123493,E16 2DQ,Private Limited Company,Active,United Kingdom,NA,2021-01-08,78109 - Other activities of employment placement agencies,,,
13154686,E1 2HP,Private Limited Company,Active,United Kingdom,NA,2021-01-25,68320 - Management of real estate on a fee or contract basis,,,
RS008547,,Registered Society,Active,United Kingdom,NA,2021-01-18,None Supplied,,,
13115111,HU2 0BQ,Private Limited Company,Active,United Kingdom,NA,2021-01-05,96090 - Other service activities n.e.c.,,,
13126612,WC1N 3AX,Private Limited Company,Active,United Kingdom,NA,2021-01-11,47910 - Retail sale via mail order houses or via Internet,62020 - Information technology consultancy activities,,
13154130,E4 8DP,Private Limited Company,Active,United Kingdom,NA,2021-01-25,56302 - Public houses and bars,,,
13111519,M22 8UE,Private Limited Company,Active,United Kingdom,NA,2021-01-04,47260 - Retail sale of tobacco products in specialised stores,,,
13137039,LU1 5JU,Private Limited Company,Active,United Kingdom,NA,2021-01-15,71129 - Other engineering activities,,,
13117693,NE4 7YL,Private Limited Company,Active,United Kingdom,NA,2021-01-06,68209 - Other letting and operating of own or leased real estate,,,
13148943,N1 7GU,Private Limited Company,Active,United Kingdom,NA,2021-01-21,69202 - Bookkeeping activities,,,
13135710,CT1 3DN,Private Limited Company,Active,United Kingdom,NA,2021-01-15,32990 - Other manufacturing n.e.c.,,,
13139793,BH4 8EN,Private Limited Company,Active,United Kingdom,NA,2021-01-18,85510 - Sports and recreation education,,,
13113096,SE3 9LF,Private Limited Company,Active,United Kingdom,NA,2021-01-05,87900 - Other residential care activities n.e.c.,,,
13146889,DE15 9RJ,Private Limited Company,Active,United Kingdom,NA,2021-01-20,41202 - Construction of domestic buildings,,,
13131726,TN8 6HF,Private Limited Company,Active,United Kingdom,NA,2021-01-13,82990 - Other business support service activities n.e.c.,,,
SC687175,G2 4JR,Private Limited Company,Active,United Kingdom,NA,2021-01-27,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68310 - Real estate agencies,68320 - Management of real estate on a fee or contract basis
13127790,HA3 9AP,Private Limited Company,Active,United Kingdom,NA,2021-01-12,43999 - Other specialised construction activities n.e.c.,,,
13135182,LA12 7AJ,Private Limited Company,Active,United Kingdom,NA,2021-01-14,70229 - Management consultancy activities other than financial management,71122 - Engineering related scientific and technical consulting activities,,
13138756,LU1 1SH,Private Limited Company,Active,United Kingdom,NA,2021-01-18,41100 - Development of building projects,41201 - Construction of commercial buildings,41202 - Construction of domestic buildings,43999 - Other specialised construction activities n.e.c.
13138358,NN5 6UX,Private Limited Company,Active,United Kingdom,NA,2021-01-18,49410 - Freight transport by road,,,
13153201,W1G 9DQ,Private Limited Company,Active,United Kingdom,NA,2021-01-22,"47990 - Other retail sale not in stores, stalls or markets",,,
13144651,ST16 1JD,Private Limited Company,Active,United Kingdom,NA,2021-01-19,47910 - Retail sale via mail order houses or via Internet,,,
13128755,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-12,47190 - Other retail sale in non-specialised stores,47910 - Retail sale via mail order houses or via Internet,"47990 - Other retail sale not in stores, stalls or markets",
SC685650,EH8 8FQ,Private Limited Company,Active,United Kingdom,NA,2021-01-12,18203 - Reproduction of computer media,,,
13165208,EN4 8SB,Private Limited Company,Active,United Kingdom,NA,2021-01-28,56290 - Other food services,,,
13116706,W3 8EL,Private Limited Company,Active,United Kingdom,NA,2021-01-06,59112 - Video production activities,,,
OC435166,SR8 1AL,Limited Liability Partnership,Active,United Kingdom,NA,2021-01-21,None Supplied,,,
13120831,WC1B 3NH,Private Limited Company,Active,United Kingdom,NA,2021-01-07,90020 - Support activities to performing arts,,,
13122204,NN5 5FN,Private Limited Company,Active,United Kingdom,NA,2021-01-08,"47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",47770 - Retail sale of watches and jewellery in specialised stores,47781 - Retail sale in commercial art galleries,
13125391,SE10 0TF,Private Limited Company,Active,United Kingdom,NA,2021-01-11,32120 - Manufacture of jewellery and related articles,47770 - Retail sale of watches and jewellery in specialised stores,"95250 - Repair of watches, clocks and jewellery",
13129115,BH15 4DL,Private Limited Company,Active,United Kingdom,NA,2021-01-12,"46140 - Agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,
13154648,SO15 2DB,Private Limited Company,Active,United Kingdom,NA,2021-01-25,56103 - Take-away food shops and mobile food stands,,,
13108819,TN24 9QB,Private Limited Company,Active,United Kingdom,NA,2021-01-04,49390 - Other passenger land transport,49410 - Freight transport by road,,
13145208,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-19,96090 - Other service activities n.e.c.,,,
13111174,SE1 4YQ,Private Limited Company,Active,United Kingdom,NA,2021-01-04,96090 - Other service activities n.e.c.,,,
NI675507,BT79 7HX,Private Limited Company,Active,United Kingdom,NA,2021-01-11,09900 - Support activities for other mining and quarrying,,,
13159677,KT5 9QJ,Private Limited Company,Active,United Kingdom,NA,2021-01-26,49410 - Freight transport by road,,,
13156281,PO7 6YB,Private Limited Company,Active,United Kingdom,NA,2021-01-25,69201 - Accounting and auditing activities,,,
13165475,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-28,70221 - Financial management,,,
13128580,SW177QQ,Private Limited Company,Active,United Kingdom,NA,2021-01-12,68100 - Buying and selling of own real estate,,,
13165246,LS28 7UJ,Private Limited Company,Active,United Kingdom,NA,2021-01-28,62090 - Other information technology service activities,,,
13154667,RG19 8AU,Private Limited Company,Active,United Kingdom,NA,2021-01-25,62012 - Business and domestic software development,,,
13114688,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-05,68100 - Buying and selling of own real estate,,,
13128239,PE33 0SR,Private Limited Company,Active,United Kingdom,NA,2021-01-12,73110 - Advertising agencies,,,
13125447,RG6 7NA,Private Limited Company,Active,United Kingdom,NA,2021-01-11,62020 - Information technology consultancy activities,,,
13110277,WN8 9SA,Private Limited Company,Active,United Kingdom,NA,2021-01-04,43320 - Joinery installation,,,
13146639,KT21 1AA,Private Limited Company,Active,United Kingdom,NA,2021-01-20,43210 - Electrical installation,,,
SC686145,G46 7UL,Private Limited Company,Active,United Kingdom,NA,2021-01-15,96090 - Other service activities n.e.c.,,,
13152494,DE23 6TB,Private Limited Company,Active,United Kingdom,NA,2021-01-22,47730 - Dispensing chemist in specialised stores,,,
13158021,SA1 4AW,Private Limited Company,Active,United Kingdom,NA,2021-01-26,90010 - Performing arts,90030 - Artistic creation,,
13144575,B17 8HY,Private Limited Company,Active,United Kingdom,NA,2021-01-19,58290 - Other software publishing,62012 - Business and domestic software development,,
13152705,BS8 2AL,Private Limited Company,Active,United Kingdom,NA,2021-01-22,70229 - Management consultancy activities other than financial management,,,
13123098,W1W 7LT,Private Limited Company,Active,United Kingdom,NA,2021-01-08,59112 - Video production activities,74201 - Portrait photographic activities,74202 - Other specialist photography,74209 - Photographic activities not elsewhere classified
13156428,GL11 5TE,Private Limited Company,Active,United Kingdom,NA,2021-01-25,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",,,
13149323,WS13 6BP,Private Limited Company,Active,United Kingdom,NA,2021-01-21,93290 - Other amusement and recreation activities n.e.c.,,,
13149953,CV6 1JN,Private Limited Company,Active,United Kingdom,NA,2021-01-21,"47990 - Other retail sale not in stores, stalls or markets",62020 - Information technology consultancy activities,62090 - Other information technology service activities,82990 - Other business support service activities n.e.c.
13121254,CR0 1NG,Private Limited Company,Active,United Kingdom,NA,2021-01-08,56101 - Licensed restaurants,,,
13134150,SK8 5EU,Private Limited Company,Active,United Kingdom,NA,2021-01-14,52290 - Other transportation support activities,,,
13111503,CB2 0AP,Private Limited Company,Active,United Kingdom,NA,2021-01-04,78109 - Other activities of employment placement agencies,78200 - Temporary employment agency activities,,
13151797,N4 1AD,Private Limited Company,Active,United Kingdom,NA,2021-01-22,70229 - Management consultancy activities other than financial management,,,
13122123,CT1 2SX,Private Limited Company,Active,United Kingdom,NA,2021-01-08,71121 - Engineering design activities for industrial process and production,71122 - Engineering related scientific and technical consulting activities,71129 - Other engineering activities,72190 - Other research and experimental development on natural sciences and engineering
13125077,W1G 0JR,Private Limited Company,Active,United Kingdom,NA,2021-01-11,70229 - Management consultancy activities other than financial management,,,
13113261,UB4 9FA,Private Limited Company,Active,United Kingdom,NA,2021-01-05,71111 - Architectural activities,,,
13166013,TA21 8EX,Private Limited Company,Active,United Kingdom,NA,2021-01-28,59112 - Video production activities,,,
NI675380,BT70 1DL,Private Limited Company,Active,United Kingdom,NA,2021-01-07,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,
13154609,NG10 1NJ,Private Limited Company,Active,United Kingdom,NA,2021-01-25,56103 - Take-away food shops and mobile food stands,,,
13122849,N1 1LX,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,NA,2021-01-08,96020 - Hairdressing and other beauty treatment,,,
13126660,B31 5RA,Private Limited Company,Active,United Kingdom,NA,2021-01-11,49410 - Freight transport by road,,,
13158075,NW6 6DJ,Private Limited Company,Active,United Kingdom,NA,2021-01-26,88910 - Child day-care activities,,,
13110360,CF11 7BF,Private Limited Company,Active,United Kingdom,NA,2021-01-04,98000 - Residents property management,,,
13138829,WA15 8RF,Private Limited Company,Active,United Kingdom,NA,2021-01-18,86230 - Dental practice activities,,,
13150298,KT18 7PF,Private Limited Company,Active,United Kingdom,NA,2021-01-21,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,
13108981,GU30 7QN,Private Limited Company,Active,United Kingdom,NA,2021-01-04,"46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,
13133381,EX8 1AL,Private Limited Company,Active,United Kingdom,NA,2021-01-14,68209 - Other letting and operating of own or leased real estate,,,
