CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
13144143,S2 4HL,Private Limited Company,Active,United Kingdom,NA,2021-01-19,47421 - Retail sale of mobile telephones,47429 - Retail sale of telecommunications equipment other than mobile telephones,47910 - Retail sale via mail order houses or via Internet,62090 - Other information technology service activities
SC687291,PA4 8WF,Private Limited Company,Active,United Kingdom,NA,2021-01-27,62090 - Other information technology service activities,,,
13112767,TN21 8NL,Private Limited Company,Active,United Kingdom,NA,2021-01-05,45320 - Retail trade of motor vehicle parts and accessories,,,
13152172,EC1V 9BD,Private Limited Company,Active,United Kingdom,NA,2021-01-22,47710 - Retail sale of clothing in specialised stores,,,
13134561,HP22 5WL,Private Limited Company,Active,United Kingdom,NA,2021-01-14,"84120 - Regulation of health care, education, cultural and other social services, not incl. social security",,,
13137891,BH11 8AU,Private Limited Company,Active,United Kingdom,NA,2021-01-15,49410 - Freight transport by road,,,
13143915,RG30 2QP,Private Limited Company,Active,United Kingdom,NA,2021-01-19,62090 - Other information technology service activities,,,
CE024598,,Charitable Incorporated Organisation,Active,United Kingdom,NA,2021-01-13,None Supplied,,,
13161575,HA5 3AZ,Private Limited Company,Active,United Kingdom,NA,2021-01-27,66300 - Fund management activities,,,
13156117,ST4 7NP,Private Limited Company,Active,United Kingdom,NA,2021-01-25,49410 - Freight transport by road,49420 - Removal services,52103 - Operation of warehousing and storage facilities for land transport activities,"52219 - Other service activities incidental to land transportation, n.e.c."
13110950,RH1 5PP,Private Limited Company,Active,United Kingdom,NA,2021-01-04,52230 - Service activities incidental to air transportation,,,
13160643,N9 8NN,Private Limited Company,Active,United Kingdom,NA,2021-01-27,47910 - Retail sale via mail order houses or via Internet,,,
